"id_startup","nome_startup","setor","status","data_avaliacao","1.1_precisao_basica","1.2_calibracao","1.3_estabilidade_leitura","1.4_latencia_sinal","1.5_relacao_sinal_ruido","2.1_custo_bom","2.2_custo_opex","2.3_tempo_deploy","2.4_escalabilidade_fabril","2.5_competitividade_preco","3.1_mtbf_teorico","3.2_tratamento_erros","3.3_estabilidade_firmware","3.4_tempo_recuperacao","3.5_stress_test","4.1_tempo_instalacao","4.2_facilidade_config","4.3_clareza_dashboard","4.4_feedback_usuario","4.5_doc_tecnica","5.1_autonomia_bateria","5.2_eficiencia_carga","5.3_consumo_standby","5.4_dimensionamento_fonte","5.5_modo_sleep","6.1_protecao_ip_agua","6.2_resistencia_termica","6.3_integridade_mecanica","6.4_resistencia_impacto","6.5_durabilidade_conector","7.1_perda_pacotes","7.2_latencia_nuvem","7.3_integridade_backup","7.4_resiliencia_api","7.5_seguranca_cripto","8.1_risco_supply_chain","8.2_frequencia_manutencao","8.3_indice_reparabilidade","8.4_tempo_montagem","8.5_ciclo_vida_material "
"11","LambdaCrops","Agri-IoT","Ativa","2025-01-14","5","5","3","4","3","3","4","3","4","3","3","3","5","3","3","3","4","5","5","5","5","4","3","4","3","4","5","3","4","5","4","5","3","5","4","3","4","4","4","4 "
"12","MuAqua","Water-Ops","Ativa","2025-01-07","3","5","5","4","3","3","5","5","5","3","3","5","3","5","3","3","3","3","3","5","3","3","3","4","3","5","4","4","5","3","4","4","5","4","5","3","3","3","3","3 "
"13","NuTraffic","SmartCity","Inativa","2024-09-15","1","3","3","1","1","2","2","1","1","3","2","1","3","2","3","1","2","2","2","3","1","2","2","1","1","1","1","2","3","2","3","3","2","3","1","3","1","2","1","1 "
"14","XiSense","Enviro-Tech","Ativa","2025-01-06","5","3","4","4","5","4","3","4","5","3","5","5","3","3","3","4","3","3","3","3","5","5","3","3","5","5","4","4","5","5","4","5","5","4","3","5","3","3","5","4 "
"15","OmicronWind","Power-Grid","Ativa","2025-01-15","3","3","5","5","5","3","5","3","3","5","5","4","4","3","4","5","5","4","3","5","4","4","4","3","3","3","4","5","5","3","4","4","5","4","3","5","5","4","4","4 "
"16","PiTracking","Agri-IoT","Ativa","2025-01-04","3","5","5","3","4","3","5","4","4","4","5","5","5","3","4","4","4","5","4","3","5","4","3","3","5","3","4","3","3","3","3","5","3","3","3","5","3","4","5","3 "
"17","RhoIrrigation","Water-Ops","Ativa","2025-01-03","4","3","3","4","4","5","4","4","5","3","5","5","5","3","3","4","5","5","4","5","3","5","4","4","4","3","4","3","4","4","4","4","3","5","4","4","3","4","3","5 "
"18","SigmaParking","SmartCity","Inativa","2024-11-20","1","2","3","2","2","1","1","2","1","3","1","3","1","1","3","1","1","1","2","3","1","1","1","2","1","2","3","2","1","3","2","1","2","2","1","1","1","3","2","2 "
"19","TauAir","Enviro-Tech","Ativa","2025-01-02","4","5","5","5","5","3","5","3","3","3","5","3","3","5","3","3","3","4","3","4","4","3","5","5","4","3","3","4","4","5","5","3","4","4","4","4","5","3","5","3 "
"20","UpsilonBatt","Power-Grid","Ativa","2025-01-01","5","3","3","5","4","4","4","3","4","3","5","4","3","3","5","3","5","3","3","4","4","5","4","5","3","5","3","5","5","4","5","5","5","5","4","3","3","5","4","3 "
"21","PhiFarm","Agri-IoT","Inativa","2024-12-10","2","1","1","1","2","2","3","2","2","3","3","1","3","2","1","2","3","1","1","1","2","1","3","3","1","2","2","3","3","1","2","1","3","2","3","3","3","3","1","3 "
"22","ChiLeak","Water-Ops","Ativa","2024-12-28","5","5","5","4","5","5","3","4","5","5","3","3","5","5","3","3","3","4","3","4","3","5","4","4","5","4","3","4","3","3","3","5","5","3","5","3","4","4","4","3 "
"23","PsiNoise","SmartCity","Ativa","2024-12-29","4","4","4","4","4","5","5","4","3","3","5","5","3","4","3","3","3","3","5","5","4","5","5","3","3","4","4","4","5","4","4","3","4","4","3","5","5","3","4","4 "
"24","OmegaCarbon","Enviro-Tech","Inativa","2024-10-05","3","2","2","1","2","3","3","2","2","3","2","1","3","2","2","3","1","2","3","2","1","1","1","3","2","1","1","2","3","3","3","3","1","3","1","3","2","3","1","3 "
"25","AlephVolt","Power-Grid","Ativa","2024-12-30","3","4","3","5","4","3","3","3","3","5","3","4","5","4","5","5","3","5","3","4","3","5","3","5","4","3","4","5","5","5","4","3","3","5","3","4","3","5","3","3 "
"26","BethGrain","Agri-IoT","Ativa","2024-12-27","3","5","5","4","4","3","4","5","5","5","5","3","3","5","5","5","5","4","4","5","4","4","3","5","3","3","3","3","3","4","3","3","4","5","3","5","5","4","5","3 "
"27","GimelFlow","Water-Ops","Inativa","2024-11-15","3","2","3","1","2","3","1","2","2","2","3","2","3","1","3","3","3","3","3","3","1","2","1","3","1","2","1","3","1","3","3","3","1","3","2","2","1","3","1","3 "
"28","DaletSafe","SmartCity","Ativa","2024-12-26","3","3","5","5","5","5","4","4","4","4","5","5","3","3","4","3","3","3","3","5","5","5","4","3","3","4","3","3","3","3","3","3","5","3","5","5","5","5","3","3 "
"29","HeOcean","Enviro-Tech","Ativa","2024-12-25","4","5","3","3","4","5","3","3","3","4","4","4","3","5","4","4","3","5","5","5","3","4","3","5","3","5","3","3","5","3","5","4","4","3","3","3","4","3","4","4 "
"30","VavSun","Power-Grid","Ativa","2024-12-24","4","5","4","3","3","4","5","4","5","5","4","3","5","3","5","4","3","4","4","5","4","4","4","3","4","4","5","4","5","4","5","3","3","5","3","3","4","5","5","5 "
"31","ZayinSoil","Agri-IoT","Ativa","2024-12-23","5","5","4","5","5","4","4","5","5","4","3","3","5","3","5","4","4","5","4","4","4","4","4","4","4","3","4","3","3","3","4","5","4","3","3","5","5","4","4","4 "
"32","HetPure","Water-Ops","Inativa","2024-10-30","1","2","3","2","3","2","2","2","3","3","2","1","1","1","1","3","1","2","3","1","3","2","1","1","3","2","3","3","3","3","3","3","3","1","1","2","3","1","3","2 "
"33","TetConnect","SmartCity","Ativa","2024-12-22","5","3","5","3","3","3","4","5","4","4","3","5","3","3","3","3","4","5","4","5","5","4","5","4","5","4","4","5","5","5","4","3","5","4","4","3","4","3","5","5 "
"34","YodBio","Enviro-Tech","Ativa","2024-12-21","4","5","4","4","5","4","5","5","3","4","4","4","4","5","5","3","4","4","4","4","4","3","4","4","3","5","4","4","5","4","5","4","3","5","5","4","3","3","4","4 "
"35","KafGrid","Power-Grid","Inativa","2024-11-25","1","1","3","3","3","2","1","1","2","1","2","3","1","3","1","1","3","2","3","3","3","2","1","1","1","3","1","1","1","3","3","3","1","3","1","1","1","2","2","3 "
"36","LamedDrone","Agri-IoT","Ativa","2024-12-20","5","3","3","5","3","4","4","4","4","4","4","4","5","3","5","4","3","5","3","5","3","4","3","3","4","4","4","4","3","3","4","5","4","3","5","5","3","3","3","5 "
"37","MemRain","Water-Ops","Ativa","2024-12-19","3","4","5","5","5","4","4","4","4","4","3","3","5","4","3","4","5","4","3","3","3","4","3","3","5","5","4","4","3","4","5","3","4","3","5","5","5","5","4","5 "
"38","NunBin","SmartCity","Inativa","2024-10-10","3","2","3","2","3","1","3","3","1","1","1","3","1","3","1","2","2","2","3","1","3","2","1","2","2","1","1","3","3","2","2","3","1","3","2","2","3","2","3","3 "
"39","SamekForest","Enviro-Tech","Ativa","2024-12-18","4","5","4","5","4","3","3","3","3","5","4","4","3","5","4","3","3","3","3","5","3","5","5","3","4","4","3","3","4","5","5","4","5","3","5","3","3","3","4","5 "
"40","AyinWatt","Power-Grid","Ativa","2024-12-17","5","5","3","5","3","5","4","3","4","5","3","4","4","4","5","5","3","5","4","4","4","5","3","3","4","5","5","5","3","5","5","5","4","3","4","3","5","4","3","4 "
"41","PeCollar","Agri-IoT","Ativa","2024-12-16","4","3","5","4","5","4","4","5","5","4","4","3","4","3","4","3","5","5","4","4","5","4","3","5","5","5","3","4","5","5","5","5","3","3","4","4","5","5","4","3 "
"42","TsadiHydro","Water-Ops","Ativa","2024-12-15","3","3","3","4","3","4","5","5","5","3","3","3","3","5","3","3","3","3","3","5","5","3","5","4","4","4","5","5","3","4","4","5","5","4","3","4","3","4","3","5 "
"43","QofCross","SmartCity","Inativa","2024-11-10","2","3","1","3","2","3","3","2","3","2","2","2","2","2","3","3","2","1","3","3","2","1","2","1","2","3","3","1","2","2","2","1","2","2","1","2","3","1","1","3 "
"44","ReshPollution","Enviro-Tech","Ativa","2024-12-14","3","3","4","4","4","3","3","5","4","3","4","3","4","5","4","5","4","4","4","4","5","3","5","5","3","4","4","5","4","3","5","5","4","3","3","3","3","5","5","4 "
"45","ShinEnergy","Power-Grid","Ativa","2024-12-13","4","3","3","3","5","4","4","3","3","5","4","3","5","4","5","4","4","5","3","5","5","5","4","3","4","4","3","4","4","4","3","5","5","4","4","5","4","4","3","5"
